Page Name,Page category ,Link,Content,Post Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Liputan6,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159562879116435,UN 2021 ditiadakan,2021-02-04 06:55:22 EST,Link,2.04E+02,6.70E+01,2.30E+01,0.00E+00,7.00E+00,1.00E+01,4.00E+00,0.00E+00,2.00E+00,2.30E+01,0.00E+00,3.00E-01,4.30E-01,1.70E-01,0.00E+00,9.00E-02,9.00E-02,4.30E-01,9.10E-01,8.95E+02,7.71E+00,"SE itu ditandatangani oleh Mendikbud Nadiem Makarim pada 1 Februari 2021. Pembuatan SE itu ditujukan kepada gubernur, bupati, dan wali kota."
Portal Berita.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159228340119962,UN 2021 ditiadakan,2021-02-04 18:12:00 EST,Link,1.27E+02,2.20E+01,1.30E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,5.00E-01,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E-01,1.00E+00,1.26E+03,7.20E+00,Mendikbud Nadiem Makarim memutuskan Ujian Nasional (UN) 2021 ditiadakan. Sebab penyebaran virus COVID-19 di Indonesia meningkat. Ini kata Dispendik Surabaya.
Tempo Media,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158470043963442,UN 2020 ditiadakan,2020-03-24 03:40:18 EDT,Link,1.95E+02,1.00E+01,2.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.28E+03,5.48E+00,"Sebelumnya, Dimas Ibnu Alias terpaksa belajar sendirian di kelas karena tak punya ponsel untuk belajar online."
VIVA.co.id,Portal Berita,https://www.facebook.com/Portal Berita/posts/10163781599865179,UN 2020 ditiadakan,2020-03-23 19:40:03 EDT,Link,4.60E+02,5.50E+01,5.60E+02,1.00E+01,3.60E+01,8.00E+00,2.00E+00,0.00E+00,0.00E+00,5.60E+01,1.80E-01,6.40E-01,1.40E-01,4.00E-02,0.00E+00,0.00E+00,1.80E-01,1.40E-01,8.20E-01,1.23E+03,5.28E+00,Ditiadakan untuk tingkat SD hingga SMA.
Tribun Timur Berita Online Makassar,Portal Berita,https://www.facebook.com/Portal Berita/posts/10157603602894611,Penundaan masuk tatap muka,2020-06-03 09:37:40 EDT,Link,8.27E+03,6.81E+02,2.22E+03,1.38E+02,2.16E+02,2.90E+01,6.30E+01,9.00E+00,2.70E+01,4.82E+02,2.90E-01,4.50E-01,6.00E-02,1.30E-01,2.00E-02,6.00E-02,3.40E-01,8.00E-02,6.60E-01,5.00E+00,-4.00E+00,"WALAUPUN TAHUN AJARAN BARU MULAI BULAN DEPAN, TAPI BELUM KE SEKOLAH. INI PRAKIRAAN JADWAL TERBARU.
Kabar baik buat orangtua, jadwal masuk sekolah ditunda hingga awal 2021, masih belajar online."
MNCTV News,Portal Berita,https://www.facebook.com/Portal Berita/posts/3414588025245792,Perpanjangan belajar daring,2020-10-28 02:00:45 EDT,Link,1.83E+02,2.00E+00,2.00E+00,1.00E+00,0.00E+00,0.00E+00,5.00E+00,0.00E+00,0.00E+00,6.00E+00,1.70E-01,0.00E+00,0.00E+00,8.30E-01,0.00E+00,0.00E+00,1.70E-01,0.00E+00,8.30E-01,8.00E+01,-3.08E+00,HORE!!!! Presiden Joko Widodo secara resmi memutuskan untuk menghapus Ujian Nasional (UN) 2020. #KAMUHARUSTAU
Portal Berita.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159226848139962,UN 2021 ditiadakan,2021-02-04 07:45:23 EST,Link,6.59E+02,3.73E+02,1.33E+02,7.00E+00,5.00E+00,1.40E+01,6.00E+00,1.00E+00,3.00E+00,3.60E+01,1.90E-01,1.40E-01,3.90E-01,1.70E-01,3.00E-02,8.00E-02,2.80E-01,4.20E-01,7.20E-01,1.64E+02,2.53E+00,"Pandemi Covid-19, Mendikbud Kembali Tiadakan Ujian Nasional 2021"
Kompas.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159677598311535,UN 2021 ditiadakan,2021-02-04 22:08:03 EST,Link,5.10E+01,0.00E+00,3.00E+00,2.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,5.00E-01,0.00E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,5.00E-01,5.00E-01,5.00E-01,3.60E+02,2.45E+00,"Resmi, Presiden Jokowi memutuskan meniadakan Ujian Nasional (UN) 2020 karena wabah corona. #kumpmaranNews"
Portal Berita.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159225993594962,UN 2021 ditiadakan,2021-02-04 01:18:15 EST,Link,1.70E+01,5.00E+00,6.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,3.17E+02,2.11E+00,"Selain karena zona yang belum aman, belajar daring dilakukan untuk menjaga kesehatan semua pihak terutama siswa dan guru."
kumparan,Portal Berita,https://www.facebook.com/Portal Berita/posts/3048881008672580,UN 2020 ditiadakan,2020-03-24 01:40:05 EDT,Link,5.83E+02,2.90E+01,5.01E+02,1.00E+01,2.40E+01,4.00E+00,6.00E+00,0.00E+00,0.00E+00,4.40E+01,2.30E-01,5.50E-01,9.00E-02,1.40E-01,0.00E+00,0.00E+00,2.30E-01,9.00E-02,7.70E-01,5.24E+02,1.87E+00,Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Makarim meniadakan Ujian Nasional (UN) dan ujian kesetaraan pada 2021.
