Page Name,Page category ,Link,Content,Post Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Liputan6,Portal Berita,https://www.facebook.com/36786411434/posts/10159562879116435,UN 2021 ditiadakan,2021-02-04 06:55:22 EST,Link,2.04E+02,6.70E+01,2.30E+01,0.00E+00,7.00E+00,1.00E+01,4.00E+00,0.00E+00,2.00E+00,2.30E+01,0.00E+00,3.00E-01,4.30E-01,1.70E-01,0.00E+00,9.00E-02,9.00E-02,4.30E-01,4.30E-01,3.17E+02,3.73E+00,Ujian Nasional (UN) 2021 resmi ditiadakan. Pemerintah pun telah mengeluarkan Surat Edaran yang ditandatangani Mendikbud Nadiem Makarim pada 1 Februari 2021.
Liputan6,Portal Berita,https://www.facebook.com/36786411434/posts/10159562415741435,UN 2021 ditiadakan,2021-02-04 03:20:07 EST,Link,1.79E+03,1.08E+03,2.56E+02,1.90E+01,5.30E+01,2.65E+02,2.40E+01,1.50E+01,7.00E+00,3.83E+02,5.00E-02,1.40E-01,6.90E-01,6.00E-02,4.00E-02,2.00E-02,7.00E-02,7.30E-01,7.30E-01,3.51E+00,3.96E+01,Sebuah riset mengungkap ada 69 juta siswa Indonesia yang menghadapi ancaman kehilangan akses pendidikan selama pandemi COVID-19. Problem klasik pun mencuat: kesenjangan digital rupanya masih lebar. #CatatanReporter https://tirto.id/f6nD:=:https://tirto.id/video-belajar-daring-terkendala-kesenjangan-digital-pusat-daerah-f6nD
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160141077937079,Tatap muka,2021-01-20 02:04:35 EST,Link,1.88E+02,6.30E+01,1.30E+01,2.00E+00,0.00E+00,4.00E+00,1.00E+00,1.00E+00,0.00E+00,8.00E+00,2.50E-01,0.00E+00,5.00E-01,1.30E-01,1.30E-01,0.00E+00,2.50E-01,6.30E-01,6.30E-01,2.72E+02,2.00E+00,Ujian Nasional (UN) dan ujian kesetaraan pada 2021 ditiadakan.
Tirto.id,Portal Berita,https://www.facebook.com/1515768312081946/posts/2872137619778335,Belajar daring,2020-10-27 05:01:10 EDT,Link,8.80E+01,6.00E+00,7.00E+00,0.00E+00,0.00E+00,3.00E+00,2.00E+00,0.00E+00,0.00E+00,5.00E+00,0.00E+00,0.00E+00,6.00E-01,4.00E-01,0.00E+00,0.00E+00,0.00E+00,6.00E-01,6.00E-01,1.06E+02,-2.15E+00,"Menteri Pendidikan dan Kebudayaan Republik Indonesia telah mengeluarkan surat edaran Nomor 1 Tahun 2021 tentang peniadaan ujian nasional dan ujian kesetaraan pelaksanaan ujian sekolah dalam masa darurat penyebaran corona virus disease (COVID-19). Surat itu ditandatangani oleh Mendikbud Nadiem Anwar Makarim pada 1 Februari 2021 di Jakarta. Dalam isi surat edaran itu disebutkan, berkenaan dengan penyebaran COVID-19 yang semakin meningkat, maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik, dan tenaga kependidikan. Dengan ditiadakannya UN dan ujian kesetaraan tahun 2021 sebagaimana dimaksud pada angka 1, maka UN dan ujian kesetaraan tidak menjadi syarat kelulusan atau seleksi masuk ke jenjang pendidikan yang lebih lebih tinggi. ""Sehubungan hal tersebut, bersamaan dengan itu Ujian Nasional dan ujian kesetaraan tahun 2021 ditiadakan,"" bunyi surat edaran tersebut. 1. Menyelesaikaan Program pembelajaran di masa pandemi COVID-19 yang dibuktikan dengan rapor tiap semester. 2. Memperoleh nilai sikap atau prilaku minimal baik. Baca selengkapnya di viva.co.id Sumber: @vivacoid ------------------ #NewsOne #UNDitiadakan #UN2021 #SyaratKelulusan #Mendikbud #NadiemMakarim"
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10159643379056535,Belajar daring,2021-01-26 20:58:03 EST,Link,5.59E+02,3.28E+02,2.90E+01,1.10E+01,6.00E+00,7.90E+01,0.00E+00,4.00E+00,1.00E+00,1.01E+02,1.10E-01,6.00E-02,7.80E-01,0.00E+00,4.00E-02,1.00E-02,1.20E-01,8.20E-01,8.20E-01,1.02E+00,1.92E+01,"UJIAN NASIONAL 2021 DITIADAKAN, MENDIKBUD KELUARKAN SURAT EDARAN Ujian akan dilaksanakan dalam bentuk seperti Portofolio berupa evaluasi atas nilai rapor.."
Okezone.com,Portal Berita,https://www.facebook.com/221887531226639/posts/3809180249163998,UN 2021 ditadakan,2021-02-04 08:00:50 EST,Link,4.52E+02,2.05E+02,1.31E+02,5.00E+00,2.10E+01,5.50E+01,7.00E+00,2.00E+00,2.00E+00,9.20E+01,5.00E-02,2.30E-01,6.00E-01,8.00E-02,2.00E-02,2.00E-02,8.00E-02,6.20E-01,6.20E-01,8.80E+02,6.28E+00,Apa saja ketentuan atau syarat kelulusan pengganti UN 2021? Informasi lebih lengkapnya dapat disimak di infografik berikut ini...
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160223918762079,UN 2021 ditadakan,2021-02-08 19:10:37 EST,Link,2.10E+01,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,2.30E+01,-6.82E+00,Ujian Nasional (UN) dan ujian kesetaraan pada 2021 ditiadakan.
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160212568237079,UN 2021 ditadakan,2021-02-05 10:51:15 EST,Link,7.80E+01,1.40E+01,8.00E+00,0.00E+00,2.00E+00,4.00E+00,3.00E+00,0.00E+00,0.00E+00,9.00E+00,0.00E+00,2.20E-01,4.40E-01,3.30E-01,0.00E+00,0.00E+00,0.00E+00,4.40E-01,4.40E-01,1.09E+02,-1.46E+00,"Resmi, Presiden Jokowi memutuskan meniadakan Ujian Nasional (UN) 2020 karena wabah corona. #kumpmaranNews"
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10159677598311535,UN 2021 ditadakan,2021-02-04 22:08:03 EST,Link,5.10E+01,0.00E+00,3.00E+00,2.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,5.00E-01,0.00E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,5.00E-01,5.00E-01,5.00E-01,5.80E+01,1.12E+00,"Mendikbud umumkan surat edaran peniadaan ujian nasional. Mengatur mekanisme apa saja pengganti ujian nasional, baik secara daring maupun luring."
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160210387732079,UN 2021 ditadakan,2021-02-04 20:29:31 EST,Link,1.11E+02,3.00E+00,6.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.23E+02,-1.25E+00,"Pandemi Covid-19, Mendikbud Kembali Tiadakan Ujian Nasional 2021"
Portal Berita.com,Portal Berita,https://www.facebook.com/357595679961/posts/10159228340119962,UN 2021 ditadakan,2021-02-04 18:12:00 EST,Link,1.27E+02,2.20E+01,1.30E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,5.00E-01,5.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E-01,5.00E-01,1.64E+02,2.22E+00,"Presiden Joko Widodo atau Jokowi memutuskan untuk meniadakan pelaksanaan Ujian Nasional (UN) 2020. Keputusan itu diambil Jokowi untuk mencegah penyebaran virus Corona (Covid-19). Setelah Ujian Nasional 2020 ditiadakan, bagaimana syarat atau penentuan kelulusan? Simak dalam Infografis berikut ini. Baca berita selengkapnya di www.liputan6.com:=:https://www.liputan6.com/ Grafis : ( Liputan6.com/ Trieyasni) #InfoGrafis #UN #PenghapusanUN #UjianNasional #Pelajar #Indonesia #COVID19 #VirusCorona #CoronaVirus #liputan6dotcom #Lip6EMS"
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160208552387079,UN 2021 ditadakan,2021-02-04 09:36:59 EST,Link,1.50E+01,4.00E+00,0.00E+00,0.00E+00,2.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,6.70E-01,3.30E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-01,3.30E-01,2.20E+01,-7.89E+00,Presiden Joko Widodo memutuskan meniadakan ujian nasional ( UN) untuk tahun 2020. Hal itu disampaikan Juru Bicara Presiden Fadjroel Rachman | #Nasional
