Page Name,Page category ,Link,Content,Type ,Post Created,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10159124583696535,Belajar daring,Link,2020-07-24 11:36:03 EDT,4409,359,194,77,7,8,39,1,33,1.65E+02,4.70E-01,4.00E-02,5.00E-02,2.40E-01,1.00E-02,2.00E-01,6.70E-01,5.00E-02,5.00E-02,5.13E+00,2.46E+01,"Menteri Pendidikan dan Kebudayaan, Nadiem Makarim memaparkan maksud dari kebijakan bantuan kuota internet yang sudah diresmikan. Kebijakan ini bermula dari keresahan masyarakat yang mengalami kendala kuota internet selama belajar di rumah pada masa pandemi COVID-19 ini. Kebijakan ini hadir untuk mengatasi masalah utama yaitu pembiayaan ketersediaan akses internet demi menunjang proses pembelajaran jarak jauh (PJJ). #BantuanKuotaInternet #Kemendikbud #Mendikbud #NadiemMakarim #CerdasBerkarakter"
Viva,Portal Berita,https://www.facebook.com/Portal Berita/posts/3153687331350795,UN 2020 ditiadakan,Link,2020-03-24 03:25:05 EDT,1318,74,367,18,2,7,1,0,0,2.80E+01,6.40E-01,7.00E-02,2.50E-01,4.00E-02,0.00E+00,0.00E+00,6.40E-01,2.50E-01,3.60E-01,3.81E+02,1.72E+00,Huda mengatakan saat ini Kemendikbud juga mengkaji opsi pelaksanaan Ujian Sekolah Berstandar Nasional sebagai pengganti Ujian Nasional.
Ruangguru,Portal Berita,https://www.facebook.com/Portal Berita/posts/2758291530934191,UN 2020 ditiadakan,Link,2020-03-24 07:11:08 EDT,280,26,63,7,1,0,3,0,0,1.10E+01,6.40E-01,9.00E-02,0.00E+00,2.70E-01,0.00E+00,0.00E+00,6.40E-01,0.00E+00,3.60E-01,1.78E+02,-1.36E+00,#Terpopuler Pemerintah memutuskan UN 2020 ditiadakan. Bagaimana penentuan lulus setelah UN 2020 ditiadakan? #UN #UN2021
Ruangguru,Portal Berita,https://www.facebook.com/192206364209400/posts/2758291530934191,UN 2020 ditiadakan,Link,2020-03-24 07:11:08 EDT,279,26,62,7,1,0,3,0,0,1.10E+01,6.40E-01,9.00E-02,0.00E+00,2.70E-01,0.00E+00,0.00E+00,6.40E-01,0.00E+00,0.00E+00,3.78E+02,1.23E+01,"Gimana nih adik-adik happy atau sedih? . Pelaksanaan Ujian Nasional 2021 ditiadakan. Hal ini disampaikan Mendikbud Nadiem Anwar Makarim dalam surat edarannya. Surat edaran peniadaan UN 2020 derikut dengan petunjuk ujian, kelulusan hingga ketentuan penerimaan peserta didik baru (PPDB) Surat Edaran Mendikbud No 1/2021 tentang Peniadaan Ujian Nasional dan Ujian Kesetaraan serta Pelaksanaan Ujian Sekolah dalam Masa Darurat Penyebaran Covid-19 tertanggal 1 Februari 2021. . Surat tersebut menulis, berkenaan dengan penyebaran Covid-19 yang semakin meningkat maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik dan tenaga kependidikan. Sehubungan dengan hal tersebut, bersama ini disampaikan bahwa : 1. UN dan ujian kesetaraan tahUN 2020 ditiadakan. 2. Dengan ditiadakannya UN dan ujian kesetaraan tahUN 2020, maka UN dan ujian kesetaraan tidak menjadi syarat kelulusan atau seleksi masuk ke jenjang pendidikan yang lebih tinggi. 3. Peserta didik dinyatakan lulus dari satuan/program pendidikan setelah : a). Menyelesaikan program pembelajaran di masa pandemi Covid-19 yang dibuktikan dengan rapor tiap semester. b). Memperoleh nilai sikap/perilaku minimal baik c). mengikuti ujian yang diselenggarakan oleh satuan pendidikan. Klik Link di Bio untuk baca berita okezone.com selengkapnya #LengkapCepatBeritanya #BacaOkezonediRumahAja #Okezonecom"
INFO PENDIDIKAN INDONESIA,Portal Berita,https://www.facebook.com/Portal Berita/posts/2546767265535430,UN 2020 ditiadakan,Link,2020-03-24 11:43:39 EDT,1049,7,496,5,3,0,0,0,0,8.00E+00,6.30E-01,3.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-01,0.00E+00,3.80E-01,1.36E+02,-1.82E+00,"Presiden Joko Widodo atau Jokowi memutuskan untuk meniadakan pelaksanaan Ujian Nasional (UN) 2020. Keputusan itu diambil Jokowi untuk mencegah penyebaran virus Corona (Covid-19). Setelah Ujian Nasional 2020 ditiadakan, bagaimana syarat atau penentuan kelulusan? Simak dalam Infografis berikut ini. Baca berita selengkapnya di www.liputan6.com:=:https://www.liputan6.com/ Grafis : ( Liputan6.com/ Trieyasni) #InfoGrafis #UN #PenghapusanUN #UjianNasional #Pelajar #Indonesia #COVID19 #VirusCorona #CoronaVirus #liputan6dotcom #Lip6EMS"
INFO PENDIDIKAN INDONESIA,Portal Berita,https://www.facebook.com/1678204769058355/posts/2546767265535430,UN 2020 ditiadakan,Link,2020-03-24 11:43:39 EDT,1046,7,494,5,3,0,0,0,0,8.00E+00,6.30E-01,3.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-01,0.00E+00,0.00E+00,1.56E+00,1.39E+01,"Ujian Nasional Tahun 2020 dan Uji Kompetensi Keahlian SMK Tahun 2020 Dibatalkan⁣ ⁣ Menteri Pendidikan dan Kebudayaan mengeluarkan surat edaran berkenaan dengan penyebaran COVID-19 yang semakin meningkat, maka kesehatan lahir dan batin siswa, guru, kepala sekolah dan seluruh warga sekolah menjadi pertimbangan utama dalam pelaksanaan kebijakan pendidikan.⁣ ⁣ Berikut rangkuman penting yang disampaikan dalam dalam surat edaran tersebut:⁣ 1. UN Tahun 2020 dibatalkan, termasuk Uji Kompetensi Keahlian 2020 bagi Sekolah Menengah Kejuruan;⁣ 2. Dengan dibatalkannya UN Tahun 2020 maka keikutsertaan UN tidak menjadi syarat kelulusan atau seleksi masuk jenjang pendidikan yang lebih tinggi;⁣ 3. Dengan dibatalkannya UN Tahun 2020 maka proses penyetaraan bagi lulusan program Paket A, B, dan C akan ditentukan kemudian.⁣ ⁣ #UjianNasional #UKK #UN2020"
Portal Berita.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158263919579962,UN 2020 ditiadakan,Link,2020-03-23 22:11:07 EDT,692,18,859,9,8,0,0,0,0,1.70E+01,5.30E-01,4.70E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E-01,0.00E+00,4.70E-01,3.33E+03,1.35E+01,Peniadaan UN menjadi penerapan kebijakan social distancing untuk memotong rantai penyebaran virus Corona SARS 2 atau Covid-19. / #Nasional
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10158665856891535,UN 2020 ditiadakan,Link,2020-03-24 01:49:03 EDT,7367,475,6514,150,92,25,22,0,0,2.89E+02,5.20E-01,3.20E-01,9.00E-02,8.00E-02,0.00E+00,0.00E+00,5.20E-01,9.00E-02,9.00E-02,1.46E+01,1.67E+02,"Ujian Nasional (UN) tahun ini resmi dibatalkan. Mendikbud Nadiem Makarim mengatakan alasan nomor satu pembatalan UN ""adalah keamanan dan kesehatan siswa-siswa kita, keamanan keluarga mereka, dan kakek-nenek siswa-siswa tersebut""."
Indozone.id,Portal Berita,https://www.facebook.com/143840239716746/posts/680791972688234,UN 2020 ditiadakan,Link,2020-03-24 01:56:30 EDT,1177,88,605,7,5,3,4,0,0,1.90E+01,3.70E-01,2.60E-01,1.60E-01,2.10E-01,0.00E+00,0.00E+00,3.70E-01,1.60E-01,1.60E-01,1.89E+00,8.60E+00,HORE!!!! Presiden Joko Widodo secara resmi memutuskan untuk menghapus Ujian Nasional (UN) 2020. #KAMUHARUSTAU
Tribun Timur Berita Online Makassar,Portal Berita,https://www.facebook.com/39933559610/posts/10157603602894611,Belajar daring,Link,2020-06-03 09:37:40 EDT,8181,662,2194,137,215,29,63,9,27,4.80E+02,2.90E-01,4.50E-01,6.00E-02,1.30E-01,2.00E-02,6.00E-02,3.40E-01,8.00E-02,8.00E-02,1.15E+01,2.78E+02,"Setelah Ujian Nasional 2020 ditiadakan, bagaimana syarat atau penentuan kelulusan?"
VIVA.co.id,Portal Berita,https://www.facebook.com/278014150178/posts/10163781599865179,UN 2020 ditiadakan,Link,2020-03-23 19:40:03 EDT,457,55,558,10,35,8,2,0,0,5.50E+01,1.80E-01,6.40E-01,1.50E-01,4.00E-02,0.00E+00,0.00E+00,1.80E-01,1.50E-01,1.50E-01,1.13E+00,1.65E+01,"Kementerian Pendidikan dan Kebudayaan Republik Indonesia memutuskan meniadakan pelaksanaan Ujian Nasional (UN) tahun 2020. Sang menteri Nadiem Anwar Makarim mengaku telah mendiskusikannya dengan Presiden Joko Widodo dan Kepala Negara merestuinya. . ""Setelah kami pertimbangkan dan diskusi dengan Presiden dan instansi di luar, kami putuskan membatalkan Ujian Nasional 2020,” katanya melalui konfenrensi pers siaran langsung di tvOne, Selasa, 24 Maret 2020. . Tidak ada alasan lain kecuali demi keselamatan para siswa dan keluarga mereka yang melatarbelakangi keputusan itu. Pemerintah tak ingin kegiatan Ujian Nasional justru menjadi sarana penularan virus corona sehingga akan lebih banyak lagi yang terinfeksi. Baca berita selengkapnya di Vivanews.com Sumber: @vivanewscom #NewsOne #tvOneNews #Vivanews #NadiemMakarim #UN2020Ditiadakan #UjianNasional #VirusCorona #Covid19Indonesia"
Tempo Media,Portal Berita,https://www.facebook.com/160355148441/posts/10158469186308442,UN 2020 ditiadakan,Link,2020-03-23 21:29:04 EDT,283,13,201,1,4,0,1,0,0,6.00E+00,1.70E-01,6.70E-01,0.00E+00,1.70E-01,0.00E+00,0.00E+00,1.70E-01,0.00E+00,0.00E+00,5.03E+02,5.60E+00,"""Jadi guru itu jangan mengajar dari rumah. Biar siswanya aja yang belajar di rumah tetapi gurunya mestinya ngajar dari sekolah,"""
MNCTV News,Portal Berita,https://www.facebook.com/429723463732278/posts/3414588025245792,Belajar daring,Link,2020-10-28 02:00:45 EDT,178,2,2,1,0,0,5,0,0,6.00E+00,1.70E-01,0.00E+00,0.00E+00,8.30E-01,0.00E+00,0.00E+00,1.70E-01,0.00E+00,0.00E+00,1.88E+02,5.19E+00,"WALAUPUN TAHUN AJARAN BARU MULAI BULAN DEPAN, TAPI BELUM KE SEKOLAH. INI PRAKIRAAN JADWAL TERBARU. Kabar baik buat orangtua, jadwal masuk sekolah ditunda hingga awal 2021, masih belajar online."
Kompas.com,Portal Berita,Kompas.com,UN 2020 ditiadakan,Link,2020-03-24 01:49:03 EDT,1318,74,7367,475,6514,150,92,25,22,0.00E+00,0.00E+00,2.89E+02,5.20E-01,3.20E-01,9.00E-02,8.00E-02,0.00E+00,0.00E+00,5.20E-01,9.00E-02,4.80E-01,"UJIAN NASIONAL 2020 RESMI DITIADAKAN “Dari rapat konsultasi via daring (online) antara anggota Komisi X dan Mendikbud Nadiem Makarim maka disiapkan berbagai opsi untuk menentukan metode kelulusan siswa salah satunya dengan nilai kumulatif dalam raport,” ujar Ketua Komisi X DPR RI Syaiful Huda dalam siaran pers yang diterima Kompas.com, Senin malam (23/3/2020)."
